filename,full_path,KKS,System_code,Line_number,System_code_short
TC021-INOV-0GHX50BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GHX50BQ002-SU_0.0_Sikla support drawing.pdf,0GHX50BQ002,GHX50,0,GHX
TC021-INOV-0GKB10BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GKB10BQ005-SU_0.0_Sikla support drawing.pdf,0GKB10BQ005,GKB10,0,GKB
TC021-INOV-0GKX50BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GKX50BQ005-SU_0.0_Sikla support drawing.pdf,0GKX50BQ005,GKX50,0,GKX
TC021-INOV-0GMA84BQ017-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GMA84BQ017-SU_0.0_Sikla support drawing.pdf,0GMA84BQ017,GMA84,0,GMA
TC021-INOV-0HRX50BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0HRX50BQ001-SU_0.0_Sikla support drawing.pdf,0HRX50BQ001,HRX50,0,HRX
TC021-INOV-0HTK10BQ006-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0HTK10BQ006-SU_0.0_Sikla support drawing.pdf,0HTK10BQ006,HTK10,0,HTK
MB050-INOV-SUT9001_0.0_Typical Support Drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\MB050-INOV-SUT9001_0.0_Typical Support Drawing.pdf,,,,
TC021-INOV-0CFX50BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0CFX50BQ005-SU_0.0_Sikla support drawing.pdf,0CFX50BQ005,CFX50,0,CFX
TC021-INOV-0EAX30BQ013-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0EAX30BQ013-SU_0.0_Sikla support drawing.pdf,0EAX30BQ013,EAX30,0,EAX
TC021-INOV-0EGA10BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0EGA10BQ003-SU_0.0_Sikla support drawing.pdf,0EGA10BQ003,EGA10,0,EGA
TC021-INOV-0EGB12BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0EGB12BQ002-SU_0.0_Sikla support drawing.pdf,0EGB12BQ002,EGB12,0,EGB
TC021-INOV-0EGC02BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0EGC02BQ001-SU_0.0_Sikla support drawing.pdf,0EGC02BQ001,EGC02,0,EGC
