KKS,Medium,Medium_processed,Fluid Group,DN,PS [bar(g)],Category,Category Details
4 HDX55 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR905,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR940,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR950,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX55 BR970,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HFA20 BR710,Waste Water,Liquids,2,25,2.5,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=2.5, DN=25.0, PS*DN=62.5)"
4 HFA20 BR720,Waste Water,Liquids,2,25,2.5,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=2.5, DN=25.0, PS*DN=62.5)"
